BOOK_NAME,BOOK_COMPANY,BOOK_INTRO,BOOK_RENT,BOOK_AUTHOR,BOOK_RELEASE,BOOK_IMAGE
아주 희미한 빛으로도,문학동네,"＇함께 성장해 나가는 우리 세대의 소설가＇를 갖는 드문 경험을 선사하며 동료 작가와 평론가, 독자 모두에게 특별한 이름으로 자리매김한 최은영의 세번째 소설집. 인간의 삶과 감정의 복잡성을 섬세하게 그려내고 있다.",n,최은영,2024년 4월,https://www.gimpo.go.kr/DATA/bbs/315/b8ee289f-f936-4824-bd34-a953f22617b7.jpg
대화의 정석,FIKA（피카）,얼마나 많은 사람이 대화를 힘들어하고 또 그만큼 잘하고 싶어 하는 지를 생생히 목격한 저자가 다양한 강의 현장에서 쌓은 노하우를 바탕으로 지금 시대에 요구 되는 대화법을 총망라했다.,n,정흥수（흥버튼）,2024년 4월,https://www.gimpo.go.kr/DATA/bbs/315/a005147d-a380-408f-9d6d-20dd683369a2.jpg
이토록 클래식이 끌리는 순간,북라이프,"클래식 음반 컬렉터이기도 한 최지환의 깊이 있는 통찰력으로 클래식 입문자와 애호가들에게 가장 먼저 추천하고 싶은 28곡을 엄선해서 담아냈다. 클래식 입문자라도, 혹은 애호가라도 그 매력에 충분히 빠져들 만한 보물 같은 곡들이다.",n,최지환,2024년 4월,https://www.gimpo.go.kr/DATA/bbs/315/41d0374c-00cd-4ff8-9842-112c4fa5a962.jpg
생각이 너무 많은 어른들을 위한 심리학,메이븐,"30만 독자의 공감을 얻은 ＜만일 내가 인생을 다시 산다면＞의 작가 김혜남이 생각이 너무 많아 자꾸만 머뭇거리고 흔들리는 어른들에게 해 주고 싶은 말들을 담은 책이다. 인생에 대한 빛나는 통찰, 그 누구에게도 듣지 못했던 진솔한 인생 조언이 담겨있다.",n,김혜남,2024년 4월,https://www.gimpo.go.kr/DATA/bbs/315/6ccb521e-a2a5-47b7-ab29-8e0e3ddde879.jpg
세상은 이야기로 만들어졌다,원더박스,이 책에서 저자들은 이야기가 지닌 상반된 영향력을 추적한다. 그들은 어떤 이야기가 오늘날 우리를 위험에 빠뜨리는지 그리고 우리 세상을 유지하기 위해 새로운 이야기가 왜 절박한지를 풀어놓고 있다.,n,"자미라 엘 우아실, 프리데만 카릭",2024년 4월,https://www.gimpo.go.kr/DATA/bbs/315/a077e4a6-5a23-4e1f-abf9-f9690e130406.jpg
바다가 들리는 편의점,모모,"24시간 불이 꺼지지 않는 친근하고 일상적인 장소인 편의점을 무대로 나이, 성별, 취향, 사연 그리고 편의점을 찾는 목적까지 제각각인 손님들과 어딘지 모르게 미스터리한 직원들이 펼치는 유쾌하고 따뜻한 이야기.",n,마치다 소노코,2023년 10월,https://www.gimpo.go.kr/DATA/bbs/315/0dca66cd-db99-479d-bf7e-a2aed471c35c.jpg
최소한의 한국사,프런트페이지,"우리가 꼭 알아야 할 필수 상식 위주로 구성되어 각 시대와 국가의 주요 사건, 특징, 배경에 방점을 찍으며 속도감 있게 나아가는 이야기.
흥미와 재미, 신뢰를 모두 잡은 역사 교양 책.
머리 속에 한국사의 주요 뼈대를 단단히 잡아 놓기에 충분하다.",n,최태성,2023년 10월,https://www.gimpo.go.kr/DATA/bbs/315/338204b1-bb12-452f-b851-aec087fad3d7.jpg
아무래도 잘한 것 같아,요세미티,"120일간의 육아휴직과, 이후 코로나로 인한 재택근무와 밀착근무를 병행하면서 체험한 육아의 기쁨과 슬픔, 가족 성장기를 현실 직장인 아빠의 시각에서 촘촘히 담아낸 책.
단짠단짠 육아 공감, 아빠 육아휴직 권장 에세이.",n,신지훈,2023년 10월,https://www.gimpo.go.kr/DATA/bbs/315/326a78a6-c823-4eb5-bdb7-0c173761e259.jpg
"세종의 고백, 임금 노릇 제대로 하기 힘들었습니다",푸른역사,"세종 스스로는 말년에 자신의 통치를 돌아보며 실패투성이로 평가했다고 합니다.
책의 저자는 성공과 실패라는 이분법을 지양하고, 위대한 통치자로서 세종 이도의 실체를 모색하고자 합니다.",n,송재혁,2023년 10월,https://www.gimpo.go.kr/DATA/bbs/315/eb7db0f6-83c8-4395-8b32-b7ec43331173.jpg
매우 예민한 사람들을 위한 상담소,한겨레출판,"어떤 성격이든 장단점이 있습니다.
책의 저자는 예민함을 잘 활용한다면 자신만의 능력으로 만들 수 있다고 강조합니다.
나를 괴롭히는 나의 예민함을 잘 다듬어 무기로 사용하고 싶은 이들에게 추천하는 책.",n,전홍진,2023년 10월,https://www.gimpo.go.kr/DATA/bbs/315/2513df86-55f6-4bdf-ae03-c697e768aa41.jpg
만일 내가 인생을 다시 산다면,메이븐,"후회 없는 인생을 살고 싶은 사람들에게 전하는 딱 한 가지.
＂하나의 문이 닫히면 또 하나의 문이 열린다. 그러니 더 이상
고민하지 말고 그냥 재미있게 살아라!＂",n,김혜남,2023년 4월,https://www.gimpo.go.kr/DATA/bbs/315/f75d4606-76fc-4332-948f-0e15984b4f86.jpg
"우리, 편하게 말해요",웅진지식하우스,"다른 사람의 마음을 어떻게 움직일 수 있을까. 사람들의 굳게 닫힌
마음과 입은 어떻게 하면 열리는 걸까. 작가의 말하기 노하우와
말하는 것이 막막한 이들을 향한 격려와 조언이 빼곡히 담긴 책.",n,이금희,2023년 4월,https://www.gimpo.go.kr/DATA/bbs/315/3bc4a6d7-967c-4a43-ae81-b66f7f631a78.jpg
당신도 느리게 나이 들 수 있습니다,더퀘스트,"＂요행을 기대할 수 없는 것이 노화.＂이 책의 맺음말의 제목이다.
노력하지 않는 한 내 신체 상태는 지금이 최상이다. 비루한 현
상태가 최상의 상태라니 덜컥 두려워지는 이들에게 권하는 책.",n,정희원,2023년 4월,https://www.gimpo.go.kr/DATA/bbs/315/680625af-5df8-453d-96a7-5b2e8b915fce.jpg
밝은 밤,문학동네,"우리는 이 책을 통해 사람들의 입을 통해 이야기가 전해진다는 건
숨이 연쇄되는 과정이기도 하다는 것을, 그리고 그것이 이야기
자체가 가진 본연의 힘이기도 하다는 것을 느낄 수 있을 것이다.",n,최은영,2023년 4월,https://www.gimpo.go.kr/DATA/bbs/315/b3ddbf76-e2ae-4a3c-b7fb-0d234b1fe7f9.jpg
너무 잘하려고 애쓰지 마라,열림원,"＇자세히 보아야 예쁘다. 오래 보아야 사랑스럽다. 너도 그렇다.＇
＜풀꽃＞ 시로 유명한 나태주 시인은 소망의 끈을 놓지 않고, 내일을 기다릴 수 있는 분명하게 빛나는 희망들을 이 시집에 담았다.",n,나태주,2023년 4월,https://www.gimpo.go.kr/DATA/bbs/315/8fe55909-638f-4e6e-bf3b-9569c67b9bf0.jpg
"어서오세요, 휴남동 서점입니다.",클레이하우스,"서울 어디에나 있을 것 같은 동네의 후미진 골목길. 오가는 사람도 많지 않은 가정집들 사이에
동네 서점 하나가 들어선다. 바로 휴남동 서점. 슬픈 사연을 갖고 있는 사람처럼
얼굴에 아무런 의욕도 보이지 않는 서점 주인 영주는 처음 몇 달간은 일은 하지 않고 가만히 앉아
책만 읽는다. 그러다 어느 순간 깨닫는다. 자신이 꽤 건강해졌다는 사실을.
그 후 휴남동 서점은 완전히 새로운 공간이 된다. 사람, 감정, 저마다의 이야기가 모이는 공간으로.",n,황보름,2022년 10월,https://www.gimpo.go.kr/DATA/bbs/315/8d7ef319-e869-466f-98e1-c5c23f414e4d.jpg
놓아주는 엄마 주도하는 아이,쌤앤파커스,"＂엄마는 너를 과하게 보호하는 대신 네가 용감해지도록 도울 거야. 그게 훨씬 나으니까.＂
부모의 테두리에서 아이를 계속 가둘 수 있을까? 아이를 세상에 던져 두기엔
세상은 너무 위험하지만 아이들은 언젠가 세상에 홀로 서야 할 시기가 온다.
눈앞의 실수를 두려워하지 않고 혹 실수하더라도 또 새로움 배움을 얻는
성공 경험의 축적을 통해 자기주도적인 아이로 성장하도록 도울 수 있는 방법을 소개한다.",n,윌리엄 스틱스러드,2022년 10월,https://www.gimpo.go.kr/DATA/bbs/315/81d43184-363c-415b-b59b-ede17eec8e2e.jpg
우리는 결국 지구를 위한 답을 찾을 것이다,블랙피쉬,"2020년 10월, 우리나라도 세계 각국의 정상이 선언한 ＇2050 탄소 중립＇선언에 동참했다.
그런데 탄소 배출량 0이 가능한 이야기일까? 아니 애초에 정말 인간만 아니면
지구는 지금처럼 뜨거워지지 않았을까? 지구와 인간이 공존하기 위한 방법은 무엇일까?
기후변화의 진짜 의미를 통해 우리 스스로 기후위기의 심각성을 깨닫게 도움을 준다.",n,김백민,2022년 10월,https://www.gimpo.go.kr/DATA/bbs/315/6e21510e-2882-4502-b5ca-c14de19f2501.jpg
내가 같이 뛰어내려 줄게,다산북스,"삶에서 마주하는 갖가지 슬픔과 꿈을 향한 노력, 그리고 관계에서 겪는 희노애락을 표현한다.
그리고 그 문장을 천천히 따라가다 보면 한 가지 깨달음에 도달한다.
바로 ＇행복한 순간은 아직 안 왔다.＇라는 것.
세상은 딱딱한 틀을 강요하지만 말랑말랑하게 사는 것 또한 삶의 원동력이라는 것이다.",n,씨씨코,2022년 10월,https://www.gimpo.go.kr/DATA/bbs/315/e301def3-60fb-4fb4-9a9d-3d890ab22006.jpg
타인의 신발을 신어보다,은행나무,"혐오와 분열이 오늘날처럼 격해지기 이전부터,
타인에 대한 이해와 공감이 중요하다고 말해왔다. 지금까지도 중요성을 역설하는 책,
강연은 꾸준히 나오지만 오히려 혐오와 분열이 극심해진 시대를 살고 있다.
그렇다면 이제는 이해와 공감과는 다른 무엇이 필요한게 아닐까?
엠퍼시를 통해 이해와 공존의 시대로 나아가는 방법을 모색한다.",n,브래디 미카코,2022년 10월,https://www.gimpo.go.kr/DATA/bbs/315/daa2b8e4-8a7d-497c-a6ce-0e898241a989.jpg
햇빛은 찬란하고,김영사,"완고한 고집보다 유연한 소신을 가진 밀라논나의 인생 내공을 담은 에세이다. 하나뿐인 나에게 예의를 갖추면서 이해하고 안아주는 사람이 되기까지의 과정과 평생 쌓인 경험, 지혜가 오롯이 스며 있다. 세월의 흐름에 따라 자연스레 습득한 봉사와 검약의 생활 철학과 지속가능한 삶을 위한 조언을 전해 진짜 멋이 무엇인지 생각하게 한다.",n,장영숙,2022년 4월,https://www.gimpo.go.kr/DATA/bbs/315/b01e95b1-4c09-40c4-8b55-0dd5158504b5.jpg
어떻게 말해줘야 할까,김영사,"오은영 박사는 ‘이렇게 말해보는 것도 좋다’고 부드럽고 따스하게 내용을 제시한다. 아이가 당장 달라지지 않는 것은 당연하니 부모로서 계속 기회를 줘야 한다는 점을 강조한다. 기회를 또 주면 아이도 점차 배워나가고, 그렇게 여러 시행착오 끝에 부모와 아이가 함께 성장할 수 있다는 것이다. 책을 통해 아이의 건강한 성장뿐만 아니라 자신도 ‘더 나은 부모’, 더 나아가 ‘더 나은 사람’으로 성장하는 경험을 할 수 있다.",n,오은영,2022년 4월,https://www.gimpo.go.kr/DATA/bbs/315/22707a36-cd98-4636-85bf-c113a3fa0438.jpg
불편한 편의점,나무옆의자,청파동 골목 모퉁이에 자리 잡은 작은 편의점을 무대로 힘겨운 시대를 살아가는 우리 이웃들의 삶의 속내와 희로애락을 따뜻하고 유머러스하게 담아낸 작품이다. 서울의 오래된 동네 청파동에 대한 공감각을 생생하게 포착해 하나의 흥미진진한 ‘동네 이야기’를 탄생시켰다.,n,김호연,2022년 4월,https://www.gimpo.go.kr/DATA/bbs/315/f475ae0b-1d56-4c63-a469-a4665ceb6aa7.jpg
방금 떠나온 세계,한겨레 출판사,"이 책의 소외되고 배제된 인물들은 사회의 모순에 맞서며, 사회에 대한 의문을 그치지 않은 채로 지금의 세계를 떠나 더 위대한 세계로 나아간다. 사랑과 이해와 위로가 아닌, 사랑의 힘과 이해의 힘과, 위로의 힘을 보여준다. 방금 떠나온 세계를 잊지 않은 채로, 무한한 세계로의 여행을 떠난다.",n,김초엽,2022년 4월,https://www.gimpo.go.kr/DATA/bbs/315/b13dcb9e-cc72-43d9-a7bc-7f9d6e308111.jpg
기분이 태도가 되지 않게,갤리온,"이 책은 기분에 조종당하고 감정에 휘둘리는 이들이 꼭 알아야 하는 심리에 대해 주로 이야기한다. 우리는 왜 그리 감정에 흔들리는지, 어떻게 해야 감정이 나에게 미치는 영향을 줄일 수 있는지 명쾌한 처방을 받을 수 있다. 감정에 끌려 다니는 노예가 아니라 주인으로 바로 서는 방법을 배워야 당신의 인생이 달라질 것이다.",n,레몬ㄷ심리,2022년 4월,https://www.gimpo.go.kr/DATA/bbs/315/98f88f6d-5449-451a-a285-a3b8d343bae4.jpg
우리말 어감 사전,유유,"저자는 사람들이 흔히 쓰는, 뜻과 쓰임에 공통점이 있는 낱말들을 찾아 모으고 속뜻을 궁리해서 어감의 차이가 발생하는 지점을 명확하게 보여 준다. ‘찾아보는 사전’을 넘어 ‘읽는 사전’의 가능성을 보여 준다.",n,안상순,21-Oct,https://www.gimpo.go.kr/common/images/program/book_sample.jpg
완전한 행복,은행나무,"완전한 행복은 버스도 다니지 않는 버려진 시골집에서 늪에 사는 오리들을 먹이기 위해 오리 먹이를 만드는 한 여자의 뒷모습에서 시작된다. 얼굴을 맞대고 웃고 있지만 그들이 추구하는 서로 다른 행복은 서서히 불협화음을 만들어낸다. 그들은 각자 행복을 위해 노력하지만, 노력할수록 더 깊이 빠져드는 늪처럼, 그림자는 점점 더 깊은 어둠으로 가족을 이끈다.",n,정유정,21-Oct,https://www.gimpo.go.kr/DATA/bbs/315/37845031-37b0-40d9-89fa-d16ae1a8db1b.jpg
불안한 사람들,다산책방,아파트를 보러 왔다가 졸지에 인질이 되어버린 여덟 명의 사람들. 순식간에 건물에 갇혀버린 사람들은 쓰고 있던 점잖은 어른의 가면을 벗어던지고 저마다 자신의 가장 솔직한 모습을 드러내고 만다. 기 센 인질들과 눈물 많은 은행 강도의 하루는 끝을 맺을 수 있을까.,n,프레드릭 배크만,21-Oct,https://www.gimpo.go.kr/DATA/bbs/315/e3dd1df2-dfdd-4903-bfd5-c18f218cb21c.jpg
지구인만큼 지구를 사랑할 순 없어,위즈덤하우스,"작가는 어린 시절 몸이 아파 낯선 상황에 놓이게 되는 여행을 즐기지 않았다. 그랬던 그가 어쩌다보니 이곳저곳으로 여행을 가게 되었다. 작가는 여행기뿐 아니라, 소설이 탄생하게 된 이야기, 여행하며 맞닥뜨린 순간들, 그때의 다정한 시선과 마음들을 들려준다. 힘든 일이 생겼을 때 꺼내보며 힘을 얻을 수 있는 반짝이는 여행의 기억들이 이 책을 가득 채운다.",n,정세랑,21-Oct,https://www.gimpo.go.kr/DATA/bbs/315/1fcce711-6b46-4e09-82c2-35c10d73b1fc.jpg
그러라 그래,김영사,"이 책에는 ＇쉽지 않은 인생을 정성껏 잘 살아보고 싶게 만드는 애틋한 응원＇이 담겨 있다. 좋아하는 걸 하고, 좋아하는 사람을 두고 나답게 살아가는 양희은의 인생 이야기를 전한다.",n,양희은,21-Oct,https://www.gimpo.go.kr/DATA/bbs/315/38486b2b-96a6-4ce3-b19d-5bb7c326cd87.jpg
"아무튼, 메모",위고,"메모는 삶을 위한 재료이자 예열 과정이라고 믿는 한 메모주의자의 기록으로, 비메모주의자가 메모주의자가 되고,
꿈이 현실로 부화하고 쓴 대로 살게 된 이야기이다.
그리고 무엇보다 메모장 안에서 더 용감해진 이야기이다.",n,정혜윤,21-Apr,https://www.gimpo.go.kr/DATA/bbs/315/0d33138b-af78-4cc7-9467-334c7a4db5e4.jpg
